Category,Name,Version
Mods,Sodium Extra,mc26.1.2-0.9.3+fabric
Mods,Waystones,26.1.2.12+fabric-26.1.2
Mods,ReplayMod,26.1-2.6.27
Mods,Explorify,v1.6.5
Mods,Mod Menu,18.0.0
Mods,Fabric API,0.155.2+26.1.2
Mods,Concurrent Chunk Management Engine (Fabric),0.4.0-alpha.0.44+26.1.2
Mods,Iris Shaders,1.11.3+26.1-fabric
Mods,Dynamic Crosshair,9.12+26.1-fabric
Mods,Craftable Totem of Undying,26.1.2-0.1
Mods,Millager (Village Defenders),0.7.4.2-26.1.2-fabric
Mods,Fzzy Config,0.7.6+26.1
Mods,YetAnotherConfigLib (YACL),3.9.6+26.1-fabric
Mods,GPUBooster,1.3.0-26.1x-fabric
Mods,Shogi,26.1.2.7+fabric-26.1.2
Mods,MSS - Moog's Soaring Structures,2.1.2
Mods,LambDynamicLights - Dynamic Lights,4.11.0+26.1.2
Mods,MaLiLib,0.28.9
Mods,MMV - Moog's Missing Villages,2.1.2
Mods,Moog's Structure Lib (moogs_structures),3.0.6
Mods,Cheap Lanterns,mc26.1-26.1.2-1.0.0
Mods,Health Bars,26.1.1
Mods,Illager Arena,1.0.0
Mods,Puzzles Lib,26.1.13
Mods,Smooth Gui,2.0.0+fabric-26.1
Mods,Dynamic FPS,3.11.7
Mods,Illager Warship,1.0.0
Mods,Tiered Backpacks,1.0.18+26.1.2-fabric
Mods,Illager Invasion,26.1.0
Mods,Durability Viewer Updated,26.1-1.11.2
Mods,MP - Moog's Paths,1.0.3
Mods,Sodium,mc26.1.2-0.9.1-fabric
Mods,More Culling,1.7.3
Mods,Enchantment Descriptions,26.1.2.5
Mods,YUNG's API,26.1.2-Fabric-6.1.1
Mods,ToadLib,1.5.0-26.1x-fabric
Mods,MNS - Moog's Nether Structures,3.0.0
Mods,ImmediatelyFast,1.15.3+26.1-fabric
Mods,Essential Mod,1.4.1.1
Mods,Ok Zoomer - It's Zoom!,17.0.0-beta.5
Mods,Forge Config API Port,26.1.5
Mods,Prickle,26.1.2.6
Mods,Cloth Config API,26.1.154+fabric
Mods,Chunky,1.5.3
Mods,Sodium Extra Information,2.9.0
Mods,MES - Moog's End Structures,2.0.3
Mods,MTR - Moog's Temples Reimagined,1.1.3
Mods,Balm,26.1.2.11+fabric-26.1.2
Mods,Lithium,mc26.1.2-0.24.7-fabric
Mods,Text Placeholder API,3.0.0+26.1
Mods,FerriteCore,9.0.0-fabric
Mods,Shulkers Drop Boxes,1.21.9-1.21.11+mod
Mods,YUNG's Better Strongholds,26.1.2-Fabric-6.1.0
Mods,Hendrix's Better Copper Age,1.3-Fabric
Mods,Armored Elytra,1.13.0
Mods,Grand Capitals,1.2.0
Mods,Just Enough Items (JEI),29.21.0.66
Mods,Fabric Language Kotlin,1.13.13+kotlin.2.4.10
Mods,SmoothHud,1.2
Mods,MVS - Moog's Voyager Structures,5.0.14
Mods,Anvian's Lib,1.4.1
Mods,Entity Culling,1.10.5
Mods,Wither Ascension,4.0+mod
Mods,Lootr,1.23.38.120
Mods,Sodium Shadowy Path Blocks (SSPB),7.0.0-fabric
Mods,MMR - Moog's Mineshafts Reimagined,1.0.3
Resource Packs,Fresh Animations: Objects,2.1.2
Resource Packs,Fullbright UB,6.0
Resource Packs,Assorted Allays x Fresh Animations,11.0
Resource Packs,Fresh Animations: Quivers,2.2.0
Resource Packs,RAY's 3D Rails,3.1
Resource Packs,It's All Connected (CTM),1.4
Resource Packs,3D Harnesses x Fresh Animations,3.0.1
Resource Packs,Fresh Animations: Player Extension,1.1.0
Resource Packs,Glowing Armor Trims,1.1
Resource Packs,Fresh Animations,1.10.5
Resource Packs,Even Better Enchants,3-1.21.5
Resource Packs,Fresh Animations: Spiders,2.2.0
Resource Packs,Better Lanterns,1.3.2-mc26.1
Resource Packs,Fresh Flower Pots,1.5.3
Resource Packs,Low Shield,3.1.0
Resource Packs,Visual: Armor Trims,4.2
Resource Packs,Icons,1.13.4
Resource Packs,3D Ladders,1.2.1-mc26.1
Resource Packs,Fresh Flower Pots: Rotated,1.2.3
Resource Packs,Fresh Animations: Creepers,2.1.0
Resource Packs,Fresh Animations: Emissive,1.6.0
Resource Packs,Low Fire,1.3.0
Shaders,Complementary Shaders - Reimagined,r5.8.1
Shaders,Complementary Shaders - Unbound,r5.8.1
Shaders,Miniature Shader,2.19
